Epoch:106   Accuracy:92.50   Best_Accuracy:93.58
Epoch:107   Accuracy:93.35   Best_Accuracy:93.58
Epoch:108   Accuracy:93.44   Best_Accuracy:93.58
Epoch:109   Accuracy:92.80   Best_Accuracy:93.58
Epoch:110   Accuracy:93.54   Best_Accuracy:93.58
Epoch:111   Accuracy:93.08   Best_Accuracy:93.58
Epoch:112   Accuracy:92.99   Best_Accuracy:93.58
Epoch:113   Accuracy:93.09   Best_Accuracy:93.58
Epoch:114   Accuracy:93.23   Best_Accuracy:93.58
Epoch:115   Accuracy:93.22   Best_Accuracy:93.58
Epoch:116   Accuracy:92.38   Best_Accuracy:93.58
Epoch:117   Accuracy:93.30   Best_Accuracy:93.58
Epoch:118   Accuracy:92.41   Best_Accuracy:93.58
Epoch:119   Accuracy:93.35   Best_Accuracy:93.58
Epoch:120   Accuracy:93.10   Best_Accuracy:93.58
Epoch:121   Accuracy:92.34   Best_Accuracy:93.58
Epoch:122   Accuracy:92.94   Best_Accuracy:93.58
Epoch:123   Accuracy:92.72   Best_Accuracy:93.58
Epoch:124   Accuracy:93.19   Best_Accuracy:93.58
Epoch:125   Accuracy:93.09   Best_Accuracy:93.58
Epoch:126   Accuracy:90.77   Best_Accuracy:93.58
Epoch:127   Accuracy:93.07   Best_Accuracy:93.58
Epoch:128   Accuracy:93.38   Best_Accuracy:93.58
Epoch:129   Accuracy:92.99   Best_Accuracy:93.58
Epoch:130   Accuracy:93.40   Best_Accuracy:93.58
Epoch:131   Accuracy:93.63   Best_Accuracy:93.63
Epoch:132   Accuracy:93.72   Best_Accuracy:93.72
Epoch:133   Accuracy:93.69   Best_Accuracy:93.72
Epoch:134   Accuracy:94.03   Best_Accuracy:94.03
Epoch:135   Accuracy:94.26   Best_Accuracy:94.26
Epoch:136   Accuracy:94.34   Best_Accuracy:94.34
Epoch:137   Accuracy:94.20   Best_Accuracy:94.34
Epoch:138   Accuracy:94.24   Best_Accuracy:94.34
Epoch:139   Accuracy:94.28   Best_Accuracy:94.34
Epoch:140   Accuracy:94.46   Best_Accuracy:94.46
Epoch:141   Accuracy:94.46   Best_Accuracy:94.46
Epoch:142   Accuracy:94.41   Best_Accuracy:94.46
Epoch:143   Accuracy:94.32   Best_Accuracy:94.46
Epoch:144   Accuracy:94.30   Best_Accuracy:94.46
Epoch:145   Accuracy:94.40   Best_Accuracy:94.46
Epoch:146   Accuracy:94.32   Best_Accuracy:94.46
Epoch:147   Accuracy:94.70   Best_Accuracy:94.70
Epoch:148   Accuracy:94.72   Best_Accuracy:94.72
Epoch:149   Accuracy:94.45   Best_Accuracy:94.72
Epoch:150   Accuracy:94.92   Best_Accuracy:94.92
Epoch:151   Accuracy:95.07   Best_Accuracy:95.07
Epoch:152   Accuracy:95.00   Best_Accuracy:95.07
Epoch:153   Accuracy:95.11   Best_Accuracy:95.11
Epoch:154   Accuracy:95.18   Best_Accuracy:95.18
